user_id,geo_country,event_count
e5060f0657c6231ba6885eb9ca0a70c63,AU,450
25060f0657ce2e7b499999e4c447b9198,AU,450
a5060f0657ce51d08b98b913356df7b27,AU,277
45060f0624766206101e84fc38eeaf207,AU,250
c5060f06284b97460b1c9ade2f3b9a792,AU,241
05060f0656222240e5889b5ed47ff8e51,AU,213
05060f06284b97460508250fc4e5209b3,AU,163
a546e70016aae706044edda6cffa2f876,JP,148
65060f065688f7cb41985d6ffc89eb42c,AU,137
e5060f0656d131e30151dc3f87143cc3b,AU,134
4546f74005611458b71ec31a9dcb6a9d3,CN,134
c5060f0624c42de61d5fb3c1721b509de,AU,119
e54631b6127759c61248246bc4486c9db,JP,117
e5060f06562216903e5f5b25540b8784f,AU,117
85060f06244416961b068f318232f3398,AU,117
e54660061fd203d61d4011b342364a5f4,NZ,117
650607209b0e2042ea81199c640155ce2,JP,116
c5469f4372430aed6edaa25127c8a20f5,CN,115
25060f06291c8bc61b5a36ac563c6d613,AU,104
c546a7231f2410861e4b2fbe70a64e575,JP,103
054650ae0ff41ab6119ebed0c014322d3,JP,103
85461526171ece5b12d8349cf16053d5f,JP,101
45060f062560de6607d0efbf4af64707e,AU,100
e5060f06557111d4889de60e03e6819c4,AU,99
e5a6153a7bce17c6018e3518582b18f4a,GB,99
e54674461727cf301ac10151f8c4d51cc,AU,99
05060f0657c64fd88ac9890e955a5559f,AU,98
654613030f0a0f9610c1556cd93a85a68,JP,97
65060f062476620618ce316c41d3bd3b4,AU,96
85060f062a5a8d060b5d4aee816c1e1b7,AU,95
05060f062144918601ce2908027470bbb,AU,95
c54631b6108b4e5614c70e6b38ed476bd,JP,95
65060f0625e7aee6028fda12c5516b1b2,AU,95
85a637c1eaa5b706169726f4a4150594b,GB,95
854615632b2005c61f5cd2ae8b23dd27f,JP,94
a5060f0657c630a5585128b50178286fc,AU,93
0546e70b1ce49706039081bc410fc680c,JP,93
250607c897120de8138e56aaa7d564ab7,JP,93
e54615471b940db61e5098d90d85ed705,JP,92
6546152617540bcec2debeac8d0d12c34,JP,91
e5060f0657da1429cdc965443e2cd79a4,AU,90
c5460046130691e599839f0a0eb05f330,SG,90
a5060f062463182617155255ee7a9c66d,AU,89
e5060f0624409d6616d8dcbdbc2032af0,AU,87
a546154707e0061615dff7a647020bfde,JP,87
c5060f0657ce113835c1a8eee171e9909,AU,87
c54615471b9a1b66170d56601d41816c4,JP,87
85060f0657ce51d0895828cdb8842b033,AU,87
254660061f9684961eca1074c8321e6fb,NZ,86
e5060c4619735428d9d5ac9ab7cee2437,TW,84
c5060f06563204302881c5baf599e4e15,AU,84
c5060f062387cb66180f05a640117c97c,AU,83
25060f0657c23af24a9b65fd8429bbee0,AU,83
854640f61f8664e61d9b687746d0ca9de,AU,82
a54640f61fa69f161e8f73dc2ad69c6f3,AU,81
e5060f062e5f67d61bde58f038f74ab8f,AU,81
45060f06290eccd618492c46ff329b16d,AU,80
6546152617400a1699c9a794d0bcff134,JP,79
a54613131f7a3526155c1cb6373296302,JP,79
254674461737c9b8161b29a26ab86a4b9,AU,78
25467406250614448b98733e5c09f10ac,SG,78
e546f73e926137561293afcd51c061d2f,CN,77
c54613031f3e02c61145b9f9e22b5f75b,JP,77
650607209b12969820d41a5c430ac004d,JP,77
45060f062249c7e601d850de018b76e37,AU,76
25461526170a1ca7d89ae9cd5ecc2571c,JP,76
a546744617270462198f5baf8578e9caa,AU,75
c546e70016aae70601df82f10055a53f5,JP,75
456668ec94be17cfd9980f8dc090d93c9,CA,74
05060f062b434d86095fe7906d3378813,AU,74
c5060f062b8058b611581c7dde66de719,AU,74
a5060f0625e7d556158515dbec1b2b847,AU,73
a566173e670627862706170617061704d,US,73
a5a6153a469e67361d55a07cdddffb82b,GB,73
4546e703599027060b01e198c90a0068b,JP,73
254630561740813d771a361dfc4a870b5,TW,73
45060f0657c21139548eba907f39e7675,AU,73
a5060f062ad79bc61b09d8a6e4868823b,AU,72
85060f062f4262960a85b29dfc82e1c99,AU,72
8546156311120d661998caf4d41286312,JP,72
c50607209b0249abc3c4d502a0c42af7b,JP,72
c56621071de6659fa5c072331fc99cd25,US,72
4546f73f97df1242115ba91aa9a9a7c08,CN,72
45461526175e4b8aef978d430e4632d29,JP,72
8566173e670637864706170617061707b,US,71
850607209b0249abc3c4d502a0c42af7b,JP,71
8566173e6706779e37061706170617001,US,71
650607209e23f93494c1dc3bcc2361f84,JP,71
05060f0655750cf38f0384af69c45d678,AU,71
c5060f062dc439361a452472b2e9cec6e,AU,71
c5060f062e1ab456165bdaea56dbe243a,AU,70
a5060f062b4759461308746db23b47e7f,AU,70
850607209ea29329f25983913cc13a430,JP,70
e5a63f169f3e12245fdf548df4ed56157,DE,70
050607209e254f8701d061009a2a592d6,JP,69
65060f0657e633f15a1e02da37aefe44a,AU,69
054641e6162765b612cf60f215151ba85,AU,69
65060f062b9a286610cb73935474c419e,AU,69
25060c4619452b8b0950ab90f040cc5b2,TW,68
